('TRANS_DP2_CTL_C', '0x620A0', '')
('TRANS_DP2_CTL_D', '0x630A0', '')
('TRANS_DP2_VFREQHIGH_A', '0x600A4', '')
('TRANS_DP2_VFREQHIGH_B', '0x610A4', '')
('TRANS_DP2_VFREQHIGH_C', '0x620A4', '')
('TRANS_DP2_VFREQHIGH_D', '0x630A4', '')
('TRANS_DP2_VFREQLOW_A', '0x600A8', '')
('TRANS_DP2_VFREQLOW_B', '0x610A8', '')
('TRANS_DP2_VFREQLOW_C', '0x620A8', '')
('TRANS_DP2_VFREQLOW_D', '0x630A8', '')
('VIDEO_DIP_CTL_A', '0x60200', '')
('VIDEO_DIP_CTL_B', '0x61200', '')
('VIDEO_DIP_CTL_C', '0x62200', '')
('VIDEO_DIP_CTL_D', '0x63200', '')
('VIDEO_DIP_GCP_A', '0x60210', '')
('VIDEO_DIP_GCP_B', '0x61210', '')
('VIDEO_DIP_GCP_C', '0x62210', '')
('VIDEO_DIP_GCP_D', '0x63210', '')
('VIDEO_DIP_AVI_DATA_0_A', '0x60220', '')
('VIDEO_DIP_AVI_DATA_1_A', '0x60224', '')
('VIDEO_DIP_AVI_DATA_2_A', '0x60228', '')
('VIDEO_DIP_AVI_DATA_3_A', '0x6022C', '')
('VIDEO_DIP_AVI_DATA_4_A', '0x60230', '')
('VIDEO_DIP_AVI_DATA_5_A', '0x60234', '')
('VIDEO_DIP_AVI_DATA_6_A', '0x60238', '')
('VIDEO_DIP_AVI_DATA_7_A', '0x6023C', '')
('VIDEO_DIP_VS_DATA_0_A', '0x60260', '')
('VIDEO_DIP_VS_DATA_1_A', '0x60264', '')
('VIDEO_DIP_VS_DATA_2_A', '0x60268', '')
('VIDEO_DIP_VS_DATA_3_A', '0x6026C', '')
('VIDEO_DIP_VS_DATA_4_A', '0x60270', '')
('VIDEO_DIP_VS_DATA_5_A', '0x60274', '')
('VIDEO_DIP_VS_DATA_6_A', '0x60278', '')
('VIDEO_DIP_VS_DATA_7_A', '0x6027C', '')
('VIDEO_DIP_SPD_DATA_0_A', '0x602A0', '')
('VIDEO_DIP_SPD_DATA_1_A', '0x602A4', '')
('VIDEO_DIP_SPD_DATA_2_A', '0x602A8', '')
('VIDEO_DIP_SPD_DATA_3_A', '0x602AC', '')
('VIDEO_DIP_SPD_DATA_4_A', '0x602B0', '')
('VIDEO_DIP_SPD_DATA_5_A', '0x602B4', '')
('VIDEO_DIP_SPD_DATA_6_A', '0x602B8', '')
('VIDEO_DIP_SPD_DATA_7_A', '0x602BC', '')
('VIDEO_DIP_GMP_DATA_0_A', '0x602E0', '')
('VIDEO_DIP_GMP_DATA_1_A', '0x602E4', '')
('VIDEO_DIP_GMP_DATA_2_A', '0x602E8', '')
('VIDEO_DIP_GMP_DATA_3_A', '0x602EC', '')
('VIDEO_DIP_GMP_DATA_4_A', '0x602F0', '')
('VIDEO_DIP_GMP_DATA_5_A', '0x602F4', '')
('VIDEO_DIP_GMP_DATA_6_A', '0x602F8', '')
('VIDEO_DIP_GMP_DATA_7_A', '0x602FC', '')
('VIDEO_DIP_GMP_DATA_8_A', '0x60300', '')
('VIDEO_DIP_VSC_DATA_0_A', '0x60320', '')
('VIDEO_DIP_VSC_DATA_1_A', '0x60324', '')
('VIDEO_DIP_VSC_DATA_2_A', '0x60328', '')
('VIDEO_DIP_VSC_DATA_3_A', '0x6032C', '')
('VIDEO_DIP_VSC_DATA_4_A', '0x60330', '')
('VIDEO_DIP_VSC_DATA_5_A', '0x60334', '')
('VIDEO_DIP_VSC_DATA_6_A', '0x60338', '')
('VIDEO_DIP_VSC_DATA_7_A', '0x6033C', '')
('VIDEO_DIP_VSC_DATA_8_A', '0x60340', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_0_A', '0x60484', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_1_A', '0x60488', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_2_A', '0x6048C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_3_A', '0x60490', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_4_A', '0x60494', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_5_A', '0x60498', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_6_A', '0x6049C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_7_A', '0x604A0', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_8_A', '0x604A4', '')
('VIDEO_DIP_AVI_DATA_0_B', '0x61220', '')
('VIDEO_DIP_AVI_DATA_1_B', '0x61224', '')
('VIDEO_DIP_AVI_DATA_2_B', '0x61228', '')
('VIDEO_DIP_AVI_DATA_3_B', '0x6122C', '')
('VIDEO_DIP_AVI_DATA_4_B', '0x61230', '')
('VIDEO_DIP_AVI_DATA_5_B', '0x61234', '')
('VIDEO_DIP_AVI_DATA_6_B', '0x61238', '')
('VIDEO_DIP_AVI_DATA_7_B', '0x6123C', '')
('VIDEO_DIP_VS_DATA_0_B', '0x61260', '')
('VIDEO_DIP_VS_DATA_1_B', '0x61264', '')
('VIDEO_DIP_VS_DATA_2_B', '0x61268', '')
('VIDEO_DIP_VS_DATA_3_B', '0x6126C', '')
('VIDEO_DIP_VS_DATA_4_B', '0x61270', '')
('VIDEO_DIP_VS_DATA_5_B', '0x61274', '')
('VIDEO_DIP_VS_DATA_6_B', '0x61278', '')
('VIDEO_DIP_VS_DATA_7_B', '0x6127C', '')
('VIDEO_DIP_SPD_DATA_0_B', '0x612A0', '')
('VIDEO_DIP_SPD_DATA_1_B', '0x612A4', '')
('VIDEO_DIP_SPD_DATA_2_B', '0x612A8', '')
('VIDEO_DIP_SPD_DATA_3_B', '0x612AC', '')
('VIDEO_DIP_SPD_DATA_4_B', '0x612B0', '')
('VIDEO_DIP_SPD_DATA_5_B', '0x612B4', '')
('VIDEO_DIP_SPD_DATA_6_B', '0x612B8', '')
('VIDEO_DIP_SPD_DATA_7_B', '0x612BC', '')
('VIDEO_DIP_GMP_DATA_0_B', '0x612E0', '')
('VIDEO_DIP_GMP_DATA_1_B', '0x612E4', '')
('VIDEO_DIP_GMP_DATA_2_B', '0x612E8', '')
('VIDEO_DIP_GMP_DATA_3_B', '0x612EC', '')
('VIDEO_DIP_GMP_DATA_4_B', '0x612F0', '')
('VIDEO_DIP_GMP_DATA_5_B', '0x612F4', '')
('VIDEO_DIP_GMP_DATA_6_B', '0x612F8', '')
('VIDEO_DIP_GMP_DATA_7_B', '0x612FC', '')
('VIDEO_DIP_GMP_DATA_8_B', '0x61300', '')
('VIDEO_DIP_VSC_DATA_0_B', '0x61320', '')
('VIDEO_DIP_VSC_DATA_1_B', '0x61324', '')
('VIDEO_DIP_VSC_DATA_2_B', '0x61328', '')
('VIDEO_DIP_VSC_DATA_3_B', '0x6132C', '')
('VIDEO_DIP_VSC_DATA_4_B', '0x61330', '')
('VIDEO_DIP_VSC_DATA_5_B', '0x61334', '')
('VIDEO_DIP_VSC_DATA_6_B', '0x61338', '')
('VIDEO_DIP_VSC_DATA_7_B', '0x6133C', '')
('VIDEO_DIP_VSC_DATA_8_B', '0x61340', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_0_B', '0x61484', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_1_B', '0x61488', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_2_B', '0x6148C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_3_B', '0x61490', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_4_B', '0x61494', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_5_B', '0x61498', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_6_B', '0x6149C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_7_B', '0x614A0', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_8_B', '0x614A4', '')
('VIDEO_DIP_AVI_DATA_0_C', '0x62220', '')
